Pytanie;Poprawna_odpowiedz;Wyjaśnienie
"Jeśli pole walki jest na podwyższeniu dodatkowy metr do rozmiaru łącznego 3 metrów jest wymagany po wszystkich stronach.";0;"Brak informacji o tym w przepisach"
"Może być noszone jakiekolwiek nieobowiązkowe religijne nakrycie głowy";0;"2.2.17 Zawodnicy mogą nosić religijne nakrycie głowy typu aprobowanego przez WKF: czarną chustę z gładkiego materiału przykrywającą włosy, ale nie szyję i gardło"
"Bluza Karate-Gi musi być dłuższa niż 3/4 długości uda.";0;"2.2.8. Bluza, po przewiązaniu talii pasem, musi mieć minimalną długość zakrywającą biodra, ale nie może być dłuższa niż do 3/4 uda."
"Spodnie Karate-Gi muszą przykrywać przynajmniej 2/3 długości łydki.";1;"2.2.13. Spodnie muszą być wystarczająco długie, by zakryć co najmniej 2/3 podudzia i nie mogą sięgać poniżej kostki. Nogawki spodni nie mogą być podwinięte"
"Rękaw bluzy Karate-Gi nie może być dłuższy, niż do zgięcia nadgarstka.";1;"2.2.11. Maksymalna długość rękawów bluzy nie może być dłuższa niż do zgięcia nadgarstka i nie krótsza niż do połowy przedramienia"
"Jeśli rękawy bluzy Karate-Gi zawodnika są zbyt długie i odpowiedni zamiennik nie może być znaleziony na czas, Sędzia Prowadzący może pozwolić na zawinięcie ich do wewnątrz.";0;"2.2.12. Rękawy bluzy nie mogą być podwinięte."
"Zawodniczki mogą nosić 1 lub 2 dyskretne gumki lub uchwyt dla włosów ułożonych w „koński ogon”. Wstążki, opaski i inne dekoracje są zabronione.";0;"2.2.16. Wsuwki do włosów są zabronione, podobnie jak metalowe spinki do włosów. Wstążki, koraliki i inne ozdoby są zabronione. Dozwolona jest jedna lub dwie dyskretne gumki na pojedynczym „końskim ogonie”.Hachimaki (opaska na głowę) nie będzie dozwolona"
"Kolczyki są dopuszczalne, tylko gdy są przykryte taśmą";0;"2.2.18. Zawodnicy muszą mieć krótkie paznokcie i nie mogą nosić żadnych metalowych czy innych przedmiotów, mogących spowodować kontuzję u przeciwnika. Użycie metalowych aparatów na zęby musi być zatwierdzone przez Sędziego Prowadzącego i Lekarza Zawodów. Zawodnik przyjmuje pełną odpowiedzialność za jakiekolwiek kontuzje"
"Metalowe aparaty dentystyczne mogą być noszone na własne ryzyko zawodnika, jeśli zostaną zatwierdzone przez Sędziego Prowadzącego i oficjalnego doktora.";1;"2.2.18. Użycie metalowych aparatów na zęby musi być zatwierdzone przez Sędziego Prowadzącego i Lekarza Zawodów. Zawodnik przyjmuje pełną odpowiedzialność za jakiekolwiek kontuzje."
"Zawodnicy muszą się sobie właściwie ukłonić, na początku i końcu walki.";1;"6.7. Mecz rozpoczyna się ukłonem do Sędziów i następnie Zawodnicy kłaniają się sobie. 6.10. Po ogłoszeniu zwycięzcy Zawodnicy lub Drużyny kłaniają się sobie, następnie kłaniają się Sędziom i opuszczają Tatami."
"Trener może zmienić kolejność walczącej drużyny w czasie rundy";0;"3.7.6. Kolejność walk może się zmieniać dla każdej rundy z zastrzeżeniem, że nowa kolejność jest zgłoszona przed każdą rundą, ale raz zapisana nie może już być zmieniona aż do zakończenia rundy."
"Jeśli zawodnik jest kontuzjowany w trakcie meczu indywidualnego, to Trener może wprowadzić zastępcę, jeśli wpierw powiadomi Komitet Organizacyjny.";0;""
"Każdy Sędzia Boczny musi być wyposażony w czerwoną i niebieską flagę lub elektroniczne urządzenie sygnalizujące.";1;"1.12. Każdy Sędzia Boczny będzie wyposażony w czerwoną i niebieską flagę lub elektroniczne urządzenie sygnalizacyjne."
"Jeśli dwie drużyny mają równe liczby zwycięstw i punktów, będzie rozegrana walka decydująca.";1;"12.5.2 Jeśli obie Drużyny mają taką samą liczbę zwycięstw i punktów w walkach, zostanie rozegrana decydująca walka. Każda Drużyna może wyznaczyć dowolnego Zawodnika ze swojej Drużyny do dodatkowej walki, niezależnie od tego, czy ten Zawodnik walczył już w poprzedniej walce pomiędzy tymi dwoma Drużynami."
"Kontroler meczu (KANSA) będzie wyposażony jedynie w gwizdek.";1;"1.11 Kontroler Meczu (KANSA) będzie siedział przy oficjalny stoliku. Kontroler Meczu będzie wyposażony w gwizdek."
"Dyskwalifikacja przez KIKEN oznacza, że zawodnicy są zdyskwalifikowani z danej kategorii.";1;"6.4 Wycofanie przez KIKEN oznacza dyskwalifikację Zawodników z danej kategorii, co niewpływa jednak na uczestnictwo w innej kategorii."
"Obcasy powyżej 4 cm nie mogą być noszone do stroju sędziowskiego.";1;"2.1.2 Dozwolone są następujące dodatki do stroju: Nie mogą być noszone do stroju obcasy wyższe niż 4cm"
"Walki seniorów trwają trzy minuty, a kobiet, juniorów i kadetów – dwie minuty.";0;"5.1 Czas trwania walki Kumite wynosi: a Kategorie Seniorów i Seniorek: 3 minuty efektywnego czasu b) Kategorie U21 Mężczyźni i Kobiety: 3 minuty efektywnego czasu c) Kategorie Kadeci i Juniorzy Mężczyźni i Kobiety: 2 minuty efektywnego czasu d) Kategorie U14 i U12 Chłopcy i Dziewczyny: 1.5 minuty efektywnego czasu e) Kategorie U10 i U8 Chłopcy i Dziewczyny: 1,0 minuta efektywnego czasu f) Kategorie Masters Mężczyzn i Kobiet: 2 minuty efektywnego czasu"
"Członkowie drużyny Kumite mogą nosić dowolny rodzaj Karate Gi.";0;"2.2.1 Zawodnicy muszą nosić białe Karategi do karate bez pasków, lamówek lub osobistych haftów, inne niż wyraźne dozwolone przez Zarząd PUK"
"Różne typy wyhaftowanych znaków firmowych na ramionach mogą być używane przez członków drużyny.";1;"2.2.4 Zawodnicy lub Drużyny muszą nosić czerwony (AKA) lub niebieski pas (AO), zgodnie z losowaniem, bez osobistych haftów, reklam ani innych oznaczeń niż zwyczajowy znak producenta. Podczas walki nie mogą być noszone pasy oznaczające stopień."
"Zawodnik nie musi zmieniać bluzy Karate Gi, jeśli wiązania są zerwane w trakcie walki.";1;"2.2.8 Bluzy bez wiązań nie mogą być używane. Wiązania od bluzy muszą być zawiązane na początku walki. Jeśli są oderwane w trakcie walki, Zawodnik nie musi zmieniać bluzy."
"Zawodnicy mogą nosić dowolne białe Karate Gi.";0;"2.2.1 Zawodnicy muszą nosić białe Karategi do karate bez pasków, lamówek lub osobistychhaftów, inne niż wyraźne dozwolone przez Zarząd PUK"
"Szybka kombinacja CHUDAN Geri i TSUKI, z których każda byłaby punktowana otrzyma Ippon.";0;"8.6. IPPON (3 punkty) jest przyznawane za kopnięcia JODAN lub jakąkolwiek technikę wykonaną na przeciwniku, którego jakakolwiek część ciała inna niż stopy ma kontakt z matą – z wyjątkiem Hiza-Gamae (Jedno kolano dotykające maty podczas wykonania techniki)."
"W walkach seniorów, lekkie „dotknięcie rękawicy” na gardło nie musi powodować ostrzeżenia ani kary pod warunkiem, że nie ma kontuzji.";0;"9.1.1 Następujące zachowania są zabronione:1. Techniki z nadmiernym kontaktem na strefy punktowane oraz techniki zkontaktem na gardło."
"Kopnięcie w pachwinę nie będzie skutkowało karą, jeśli winny tej akcji nie zrobił tego umyślnie.";0;"9.1.1 Następujące zachowania są zabronione:2. Ataki na ręce lub nogi, pachwiny, stawy lub podbicie."
"Począwszy od 2023, dla Zawodników poniżej 14 roku życia, dozwolony jest hełm ochronny zatwierdzony przez WKF, a obowiązkowy od 1.01.2024.";0;"2.2.17 Następujący sprzęt ochronny jest obowiązkowy:Dodatkowo dla Zawodników kategorii U14 dopuszczone , ale nie obowiązkowe jestużywanie zatwierdzonego przez WKF kasku ochronnego i zewnętrznego ochraniaczaklatki piersiowej."
"Jeśli SENSHU jest wycofane, gdy jest mniej niż 15 sekund do końca walki, nie można już przyznać SENSHU w tej walce któremukolwiek zawodnikowi.";1;"12.2.9 Jeśli SENSHU zostanie wycofane, gdy do końca walki zostało mniej niż 15 sekund,żadnemu Zawodnikowi nie można przyznać kolejnego SENSHU"
"Jeśli Zawodnik, któremu przyznano SENSHU otrzyma ostrzeżenie za unikanie walki, gdy pozostało mniej niż 15 sekund do końca walki – zawodnik automatycznie utraci tą przewagę.";0;"10.4.16 Unikanie walki odnosi się do sytuacji, w której Zawodnik usiłuje uniemożliwić przeciwnikowi zdobycie punktów poprzez zachowanie marnujące czas, takie jak ciągłe wycofywanie się bez skutecznej kontry, trzymanie, klincz lub opuszczenie pola walki, zamiast dać przeciwnikowi szansę na zdobycie punktu. Unikanie walki w ciągu ostatnich 15 sekund walki (ATO SHIBARAKU) powoduje przyznanie co najmniej HANSOKU CHUI i utratę SENSHU. Ale w przepisy nie ma czegoś jak AUTOMATYCZNIE."
"Nieobowiązkowe religijne nakrycie głowy musi być zatwierdzone przez WKF.";1;"2.1.2 Dozwolone są następujące dodatki do stroju: b) Religijne nakrycie głowy zatwierdzone przez WKF."
"Kontroler Zawodów WKF lub Komisja Organizacyjna może zezwolić Trenerom, aby zamiast góry dresu używali dowolnego T-Shirta.";0;"2.3.2. Trenerzy muszą przez cały czas trwania zawodów nosić strój sportowy dres, dopuszczalna jest koszulka klubowa zamiast bluzy dresowej, buty sportowe. "
"HANSOKU-CHUI jest przyznawane, kiedy potencjał zawodnika do odniesienia zwycięstwa został poważnie zredukowany przez faul przeciwnika.";1;"HANSOKU CHUI jest przyznawane za poważniejsze ostrzeżenie przed dyskwalifikacją w przypadku dalszych wykroczeń wykroczenia, które zmniejszają szanse drugiego Zawodnika na wygraną, lub Zawodnikowi za dalsze wykroczenia, jeśli trzy CHUI zostały już przyznane"
"„Wymiana” jest okresem pomiędzy zatrzymaniem walki a zatrzymaniem zegara.";0;"nie ma w przepisie słowa ""Wymiana"""
"Dopuszczalna tolerancja wagi dla mężczyzn i kobiet wynosi 0.5 kg.";0;"3.2.2 Ważenie oficjalne : Dopuszczalna tolerancja na Mistrzostwach Polski Seniorów, Juniorów Młodszych,Juniorów i U21 wynosi 0.2 kg dla wszystkich kategorii męskich wynosi i 0.5kg dlawszystkich kategorii żeńskich.Na pozostałych zawodach tolerancja wagowa we wszystkich kategoriachwagowych żeńskich i męskich wynosi 1.0 kg."
"HANSOKU jest przyznawane za poważne naruszenia przepisów.";1;"10.3.1. HANSOKU - dyskwalifikacja z walki - Jest to kara po bardzo poważnym przewinieniu lub gdy HANSOKU CHUI zostało już przyznane"
"SHIKKAKU może być tylko nałożone po ostrzeżeniu.";0;"Nie musi np. 10.4.17. Zawodnik, który odmówi wykonania poleceń Sędziego Prowadzącego lub wykaże utratę panowania nad sobą, automatycznie otrzyma SHIKKAKU. "
"Jeśli zawodnik postępuje złośliwie, SHIKKAKU a nie HANSOKU jest właściwą karą.";1;"10.3.1 SHIKAKKU - dyskwalifikacja z zawodów: Jest to dyskwalifikacja z całego turnieju, w tym z każdej kolejnej kategorii, w której sprawca mógł być zarejestrowany. SHIKKAKU może zostać przyznane, gdy Zawodnik nie wykonuje poleceń Sędziego Prowadzącego, działa złośliwie lub popełnia czyn godzący w prestiż i honor Karate."
"Jeśli zawodnik postępuje złośliwie, HANSOKU jest właściwą karą.";0;"10.3.1 SHIKAKKU - dyskwalifikacja z zawodów: Jest to dyskwalifikacja z całego turnieju, w tym z każdej kolejnej kategorii, w której sprawca mógł być zarejestrowany. SHIKKAKU może zostać przyznane, gdy Zawodnik nie wykonuje poleceń Sędziego Prowadzącego, działa złośliwie lub popełnia czyn godzący w prestiż i honor Karate."
"Zawodnik może otrzymać SHIKKAKU, jeśli zachowanie Trenera lub niewalczących członków delegacji zawodnika jest uznane za godzące w prestiż i honor Karate-do.";0;"10.3.1 SHIKAKKU - dyskwalifikacja z zawodów: Jest to dyskwalifikacja z całego turnieju, w tym z każdej kolejnej kategorii, w której sprawca mógł być zarejestrowany. SHIKKAKU może zostać przyznane, gdy Zawodnik nie wykonuje poleceń Sędziego Prowadzącego, działa złośliwie lub popełnia czyn godzący w prestiż i honor Karate."
"Ta sama tolerancja wagi obowiązuje dla dolnej i górnej granicy kategorii wagowej.";1;"3.2.2 Ważenie oficjalne d) Tolerancja Ta sama tolerancja dotyczy zarówno górnej, jak i dolnej granicy kategorii wagowej."
"Dla konkurencji indywidualnej, po systemie Round-robin następują ćwierćfinały, półfinały i finał.";1;"3.8.1 Na zawodach Indywidualnych Zwycięzca każdej z grup przechodzi do regularnychćwierćfinałów, półfinałów i finału. Przegrani z finalistami w ćwierćfinale i półfinale walcząo brązowe medale."
"Pięć kryteriów musi zostać spełnione przy zaliczaniu punktowanej techniki.";0;"8.5 Aby technika mogła zostać uznana za punktowaną, musi mieć potencjał skuteczności, gdyby nie była kontrolowana, a także musi spełniać kryteria: 1. Dobra forma (prawidłowo wykonana technika) 2. Sportowa postawa (wykonana bez zamiaru spowodowania kontuzji) 3. Dynamiczne wykonanie (wykonana z szybkością i mocą) 4. Utrzymywanie świadomości przeciwnika zarówno w trakcie, jak i po wykonaniutechniki (nieodwracanie się i nieprzewracanie się po wykonaniu techniki – chyba, że upadek jest spowodowany faulem przeciwnika) 5. Dobry timing (zastosowanie techniki we właściwym momencie) 6. Prawidłowy dystans (wykonana w dystansie, z którego technika byłaby skuteczna)"
"Do pierwszej rundy w męskiej drużynie musi stawić się pięciu Zawodników.";0;"3.6 Skład Drużyn Kumite3.6.1 W konkurencji Kumite Drużynowego Drużyna może zmieniać skład Drużyny walczącejw każdym meczu. Dla walki dodatkowej (tie-break) Drużyna może zgłosić dowolnegozawodnika.3.6.2 Na wszystkich zawodach w konkurencji drużynowej do pierwszej walki musi stawić sięcały skład drużyny.3.6.3 Minimalny skład drużyny Mistrzostw Polski Seniorów: kobiety 3 + 1 dodatkowy,mężczyźni to 5 + 2 dodatkowych3.6.4 Minimalny skład drużyny pozostałych zawodów: kobiety 3 + 1 dodatkowy, mężczyźni 3+ 1 dodatkowy."
"Drużyny męskie składają się z pięciu do siedmiu członków z pięcioma walczącymi w rundzie.";1;"3.6.3 Minimalny skład drużyny Mistrzostw Polski Seniorów: kobiety 3 + 1 dodatkowy, mężczyźni to 5 + 2 dodatkowych"
"Do pierwszej rundy w drużynie żeńskiej musi stawić się minimum dwie Zawodniczki.";0;"3.6.2 Na wszystkich zawodach w konkurencji drużynowej do pierwszej walki musi stawić się cały skład drużyny."
"W systemie Round-robin maksymalnie 32 Zawodników na kategorię jest podzielonych na 8 grup po 4 zawodników.";1;"3.8.2 W zależności od liczby Zawodników przydział do grup będzie zgodny z poniższą tabelą:24 i więcej zgłoszeń na grup 8"
"Jeśli Trener po pierwszym ostrzeżeniu nadal przeszkadza w prowadzeniu walki, Sędzia Prowadzący zatrzyma walkę, zbliży się ponownie do Trenera i poprosi go o opuszczenie tatami.";1;"9.1.3 Dodatkowo Sędzia Prowadzący może, wyłącznie na podstawie własnej opinii, usunąć zpola walki każdego Trenera, który nie stosuje się do właściwego zachowania lub któryw opinii Sędziego Prowadzącego przeszkadza w prawidłowym prowadzeniu walki, a takżewstrzymać kontynuację walki, do czasu, aż Trener wykona polecenie. Te sameuprawnienia Sędziego Prowadzącego rozciągają się podporządkowanie mu innychczłonków otoczenia Zawodnika obecnych na polu rozgrywek."
"Jeśli AKA zdobywa punkt w chwili, gdy AO wychodzi poza obszar pola walki, mogą być przyznane zarówno punkt, jak i ostrzeżenie lub kara.";1;"7.10.1. Gdy jeden lub obaj Zawodnicy znajdują się poza obszarem pola walki, ale z wyjątkiem umożliwienia Zawodnikowi natychmiastowego zdobycia punktu na przeciwniku, który opuścił pole walki."
"Jeśli zawodnik był fizycznie wypchnięty z pola walki, będzie przyznany Jogai.";0;"10.4.13. JOGAI odnosi się do sytuacji, w której stopa Zawodnika lub jakakolwiek inna część ciała dotyka podłogi poza polem walki. Wyjątkiem jest sytuacja, gdy Zawodnik jest fizycznie wypchnięty lub rzucony poza pole walki przez przeciwnika lub opuszcza pole walki po zdobyciu punktu."
"W zawodach Premier League Zawodnicy, którzy przegrali z finalistami w ćwierćfinale i półfinale, walczą o brązowe medale";1;"3.8.1. Przegrani z finalistami w ćwierćfinale i półfinale walczą o brązowe medale."
"W przypadkach, kiedy jest remis pomiędzy dwoma lub więcej Zawodnikami w grupie, mającymi tą samą liczbę całkowitą punktów, pierwszym kryterium do rozważenia jest najwyższa pozycja w Rankingu Światowym na datę zawodów.";0;"12.3.1  1) Zwycięzca walki pomiędzy Zawodnikami biorącymi udział w remisie.  2) Większa liczba punktów zdobytych we wszystkich walkach.  3) Niższa liczba punktów straconych we wszystkich walkach. 4) Większa liczba IPPON zdobytych we wszystkich walkach.   5) Niższa liczba IPPON straconych we wszystkich walkach.  6) Większa liczba WAZA-ARI zdobytych we wszystkich walkach.  7) Niższa liczba WAZA-ARI straconych we wszystkich walkach. 8) Najwyższy ranking światowy w dniu zawodów."
"Jest możliwe, że zawodnik zostanie zdyskwalifikowany z walki (HANSOKU) i będzie kontynuował kategorię.";1;"12.3.2 Jest możliwe, że Zawodnik zostanie zdyskwalifikowany z walki (HANSOKU) i będzie kontynuował zawody. W tym przypadku jego przeciwnik zwycięża tę walkę albo przez 4-0 (liczone jako YUKO) lub inną wartość, jeśli wynik przekracza 4 punkty. Rezultaty poprzednich walk pozostają."
"Zawodnik, który zdobywa punkt i wychodzi poza pole walki zanim Sędzia Prowadzący zawoła YAME nie otrzyma JOGAI.";1;""
"Zawodnicy nie mogą otrzymywać kar po gongu oznaczającym koniec czasu walki.";0;"Mogą po walce np. 10.4.17 Niestosowanie się do instrukcji: Zawodnik, który odmówi wykonania poleceń Sędziego Prowadzącego lub wykaże utratę panowania nad sobą, automatycznie otrzyma SHIKKAKU. Kara ta może być nałożona przed, w trakcie lub po walce"
"W zawodach juniorów każda technika na twarz, głowę lub szyję, która powoduje kontuzję będzie karana ostrzeżeniem lub karą, chyba że jest to z winy poszkodowanego.";1;"10.4.2 Kontakt powodujący kontuzję: Każda technika, które powoduje kontuzję, może spowodować ostrzeżenie lub karę, o ile nie jest spowodowana przez poszkodowanego. Zawodnicy muszą wykonywać wszystkie techniki z kontrolą i dobrą formą. Jeśli nie umieją, to niezależnie od źle użytej techniki, ostrzeżenie lub kara muszą zostać nałożone. 10.4.6 Kontakt z gardłem: Każdy kontakt z gardłem, o ile nie nastąpił z winy poszkodowanego, musi skutkować ostrzeżeniem lub karą."
"W zawodach kadetów i juniorów kopnięcia na poziom JODAN są dozwolone z minimalnym kontaktem (dotyk skóry), o ile nie powodują kontuzji.";1;"8.10 „Dotyk skóry” jest dozwolony w kategoriach dla Zawodników U18 (Juniorzy) i starsi (U21, Seniorzy). Dla kategorii wiekowych U16 (Junior Młodszy) dotyk skóry jest dozwolony tylko przy kopnięciach. Dotyk skóry definiuje się jako dotknięcie celu bez przekazywania energii do głowy lub ciała. "
"W zawodach seniorów lekki dotyk jest dozwolony dla uderzeń TSUKI na JODAN, a większa tolerancja jest dopuszczalna dla kopnięć na JODAN.";0;"8.10 „Dotyk skóry” jest dozwolony w kategoriach dla Zawodników U18 (Juniorzy) i starsi(U21, Seniorzy). Dla kategorii wiekowych U16 (Junior Młodszy) dotyk skóry jestdozwolony tylko przy kopnięciach. Dotyk skóry definiuje się jako dotknięcie celu bezprzekazywania energii do głowy lub ciała. Dla Zawodników U14 i młodsi żaden dotykskóry jest dozwolony dla technik Jodan."
"Zawodnik, który już się zakwalifikował, nie może pod koniec Round-robin zostać zdyskwalifikowany za niewłaściwe postępowanie (SHIKKAKU).";0;"Może - SHIKKAKU może zostać przyznane, gdy Zawodnik nie wykonuje poleceń Sędziego Prowadzącego, działa złośliwie lub popełnia czyn godzący w prestiż i honor Karate."
"Jeśli na zawodach ma być stosowana inna odmiana formatu zawodów niż opisana w tych przepisach, to musi to zostać wyraźnie zapowiedziane w biuletynie zawodów.";1;"3.9.1 Jeżeli w danych zawodach ma być zastosowana inna odmiana formatu zawodów niżopisana w niniejszych zasadach, musi to być jasno określone w biuletynie zawodów izaakceptowane przez PUK"
"Złe zachowanie Trenera nie powoduje SHIKKAKU dla jego zawodnika i zawodnik nie musi być oddalony z maty.";1;"9.1.3 Dodatkowo Sędzia Prowadzący może, wyłącznie na podstawie własnej opinii, usunąć z pola walki każdego Trenera, który nie stosuje się do właściwego zachowania lub który w opinii Sędziego Prowadzącego przeszkadza w prawidłowym prowadzeniu walki, a także wstrzymać kontynuację walki, do czasu, aż Trener wykona polecenie. Te same uprawnienia Sędziego Prowadzącego rozciągają się podporządkowanie mu innych członków otoczenia Zawodnika obecnych na polu rozgrywek."
"Kiedy Sędziowie Boczni zauważą punktowaną technikę będą to natychmiast sygnalizować joystickami.";1;"15.4.2 Sędziowie Boczni uważnie obserwują działania Zawodników i sygnalizują Sędziemu Prowadzącemu opinię w przypadku zaobserwowania punktu"
"Skład sędziowski jest złożony z 1 Menadżera Tatami, 3 Asystentów Menadżera Tatami.";0;"4.1.1 Zespół Sędziowski do każdej walki składa się z jednego Sędziego Prowadzącego - SP (SHUSHIN), czterech Sędziów Bocznych – SB (FUKUSHIN) i jednego Kontrolera Meczu (KANSA), Kontrolera Punktacji, a jeśli jest używane Video Review także 2 Kontrolerów Video Review"
"Skład sędziowski do każdego meczu będzie zawierał jednego Sędziego prowadzącego, czterech Sędziów bocznych i jednego Kontrolera Meczu.";0;"4.1.1 Zespół Sędziowski do każdej walki składa się z jednego Sędziego Prowadzącego - SP(SHUSHIN), czterech Sędziów Bocznych – SB (FUKUSHIN) i jednego Kontrolera Meczu(KANSA), Kontrolera Punktacji, a jeśli jest używane Video Review także 2 KontrolerówVideo Review."
"Jeśli po rozpoczęciu walki okazuje się, że zawodnik nie ma protektora na zęby, to zostaje on zdyskwalifikowany.";0;"2.2.22 Obowiązkiem Kontrolera Meczu jest upewnienie się przez każdym meczem lub walką, że Zawodnicy noszą odpowiedni sprzęt"
"Sędzia Prowadzący wydaje wszelkie komendy i werdykty.";1;"15.3.1. Sędzia Prowadzący wydaje wszystkie polecenia i ogłasza wszystkie komendy."
"Dla zawodników w wieku 14 lat i mniej czas trwania walki Kumite wynosi 1.5 minuty.";1;"5.1 Czas trwania walki Kumite wynosi: d) Kategorie U14 i U12 Chłopcy i Dziewczyny: 1.5 minuty efektywnego czasu"
"Jeśli trzech Sędziów Bocznych sygnalizuje punkt dla AKA, to Sędzia Prowadzący musi zatrzymać walkę, nawet gdy uważa, że się mylą.";1;"7.10 W następujących sytuacjach Sędzia Prowadzący zawoła „YAME” i tymczasowo zatrzyma walkę: Gdy punkt jest wskazywany przez dwóch lub więcej Sędziów Bocznych dla tego samego Zawodnika."
"Jeśli dwóch lub więcej Sędziów Bocznych sygnalizuje punkty dla tego samego zawodnika, Sędzia Prowadzący musi zatrzymać walkę.";1;"7.10 W następujących sytuacjach Sędzia Prowadzący zawoła „YAME” i tymczasowo zatrzyma walkę: Gdy punkt jest wskazywany przez dwóch lub więcej Sędziów Bocznych dla tego samego Zawodnika."
"Pomiar czasu walki rozpoczyna się, gdy Sędzia Prowadzący daje sygnał do rozpoczęcia i zatrzymuje, gdy Sędzia Prowadzący woła YAME lub gdy upłynął czas walki.";1;"5.2 Pomiar czasu walki rozpoczyna się, gdy Sędzia Prowadzący daje sygnał do rozpoczęcia walki i jest zatrzymywany za każdym razem, gdy Sędzia Prowadzący zawoła „YAME” lub na sygnał zakończenia walki."
