Pytanie;Odp;Objasnienie
Członkowie drużyny Kata muszą nosić ten sam typ Karate Gi;F;2.2.2 Nie ma wymagania, aby członkowie Drużyny nosili tą samą markę Karate-gi.
Dopuszczalny łączny czas na wykonanie łącznej prezentacji Kata i BUNKAI wynosi sześć minut;F;3.5.7 Całkowity dozwolony czas na prezentację Kata i Bunkai wynosi 5 minut.
W konkurencji Kata są dopuszczalne niewielkie zmiany w Kata, zgodnie z nauczaniem stylu (Ryu-ha) zawodnika;P;5.3.2 Będą dozwolone niewielkie różnice jak nauczane w stylu Karate Zawodnika (Ryu-Ha)
Okulary są zabronione w konkurencji Kata.;P;"2.2.4 Okulary są zabronione. Miękkie soczewki kontaktowe mogą być noszone na własne ryzyko Zawodnika."
Jest dozwolona tylko jedna dyskretna gumka na włosach upiętych w „koński ogon”.;F;2.2.19 Wsuwki do włosów są zabronione, podobnie jak metalowe spinki do włosów. Wstążki, koraliki i inne ozdoby są zabronione. Dozwolona jest jedna lub dwie dyskretne gumki na włosach spiętych w koński ogon.
Prawo do rozstawienia nie zstępuje na niższe miejsca w przypadku nieobecności Zawodników, którym przysługuje rozstawienie.;F; 
Konkurencja Kata może być organizowana w kilku formatach.;P;3.3.1 Konkurencje Kata można zorganizować w różnych formatach:
We wszystkich formatach konkurencji liczba Zawodników nie może przekroczyć 8.;F; 
Sędziowie powinni zwracać uwagę na prawidłowy Kihon demonstrowanej szkoły.;F;5.3.2 Będą dozwolone niewielkie różnice jak nauczane w stylu Karate Zawodnika (Ryu-Ha).
Mecze drużynowe składają się rywalizacji pomiędzy drużynami 3 lub 4 zawodników, z których 3 rywalizuje w jednym momencie.;P;"3.5.1 Drużyny Kata składają się z 3 (zawody inne niż kategorii A) lub 3-4 Zawodników (zawody kategorii A), z których 3 rywalizuje w każdej rundzie. Gdy Drużyna składa się z 4 zawodników, w dowolnej rundzie można użyć dowolnych 3 Zawodników. Każda drużyna jest wyłączne męska lub wyłącznie żeńska"
Zgodność jest to spójność w wykonaniu Kihon stylu (Ryu-ha) w Kata.;P;7. Zgodność: Konsekwencja w wykonaniu KIHON
Jeśli wystąpi jakakolwiek niezgodność między numerem i nazwą Kata zgłoszonego do wykonania, będzie decydować nazwa jak na oficjalnej liście Kata WKF.;F;"6.3 Jeśli wystąpi jakakolwiek niezgodność między numerem i nazwą Kata rejestrowanego do wykonania, to decydujący będzie numer, tak jak na Liście Kata."
Kiedy drużyna ma 4 Zawodników, wszyscy 4 mogą być użyci do każdej rundy.;F;3.5.1 Drużyny Kata składają się z 3 (zawody inne niż kategorii A) lub 3-4 Zawodników (zawody kategorii A), z których 3 rywalizuje w każdej rundzie. Gdy Drużyna składa się z 4 zawodników, w dowolnej rundzie można użyć dowolnych 3 Zawodników. Każda drużyna jest wyłączne męska lub wyłącznie żeńska.
Dawanie komendy do rozpoczęcia i zakończenia Kata przez członka drużyny nie jest uważane za zewnętrzną wskazówkę.;F;"5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lub teatralnych, takich jak tupanie nogami, uderzanie w klatkę piersiową, ramiona lub Karategi lub niewłaściwe oddychanie, musi być uznane przez Sędziów za bardzo poważne faule w ich ocenie wykonania Kata – na takim samym poziomie, na jakim karano by za chwilową utratę równowagi."
Maty muszą tworzyć powierzchnię jednolitego koloru w konkurencji Kata.;P;"1.1 Pole walki będzie kwadratem ułożonym z mat o bokach równych 8 metrów (mierzonych z zewnątrz), z matami w kolorze innym niż reszta mat na zewnętrznym jednometrowym obszarze, wyznaczającym granicę."
Sędziowie powinni zwracać uwagę na prawidłowy Kihon demonstrowanego stylu (Ryu-ha) zawodnika;F;5.3.2 Będą dozwolone niewielkie różnice jak nauczane w stylu Karate Zawodnika (Ryu-Ha).
Skład sędziowski może być zmieniony dla każdej pojedynczej rundy.;P;4.1 Na wszystkich oficjalnych zawodach PUK Panel Sędziów do Kata dla każdej rundy zostanie wyznaczony przez Menadżera Tatami.
Czas dopuszczalny na wykonanie Kata i BUNKAI razem wynosi 5 minut.;P;3.5.7 Całkowity dozwolony czas na prezentację Kata i Bunkai wynosi 5 minut.
W konkurencji Kata rękawy bluzy Karate-Gi nie mogą być podwinięte.;P;2.2.12 Rękawy bluzy nie mogą być podwinięte
Odpowiedzialnością Trenera lub zawodnika jest zgłoszenie nazwy i numeru Kata do stolika sędziowskiego przed każdą rundą.;F;6.2 Jest wyłączną odpowiedzialnością Trenera, lub w przypadku nieobecności Trenera, odpowiedzialnością Zawodnika lub Drużyny zapewnić, że Kata wskazywane Gońcowi (lub w przypadku nieobecności Sędziom) jest odpowiednie dla tej konkretnej rund
Liczba sędziów może być zmniejszona do pięciu dla każdej imprezy.;F;"4.6 Liczba Sędziów w Panelu Sędziowskim do Kata w zależności od zawodów: Zawody Kategorii A (decyzję podejmuje Sędzia Główny w porozumieniu z Zarządem PUK): o Mistrzostwa Polski Seniorów – 7 Sędziów o Pozostałe zawody – 5 lub 7 Sędziów"
Poprzednio wykonane Kata może być użyte tylko do rozstrzygnięcia remisu.;F; 
Spodnie Karate-Gi mogą być trochę krótsze, tak aby przykryć tylko połowę łydki.;F;"2.2.13 Spodnie muszą być wystarczająco długie, by zakryć co najmniej dwie trzecie podudzia i nie mogą sięgać poniżej kostki. Nogawki nie mogą być podwinięte"
Całkowity czas dopuszczalny dla wykonania łącznej prezentacji Kata i BUNKAI wynosi pięć minut.;P;3.5.7 Całkowity dozwolony czas na prezentację Kata i Bunkai wynosi 5 minut.
W przypadku gdy jest 3 lub mniej Zawodników jest wykonywane pojedyncze Kata dla określenia miejsc od pierwszego do trzeciego.;F; 
Sędziowie meczu Kata nie mogą być takiej samej narodowości jak którykolwiek z zawodników;F;Mogą
Chociaż wstążki i inne ozdoby nie są dozwolone w Kumite, to są one dozwolone w Kata.;F;"2.2.19 Wsuwki do włosów są zabronione, podobnie jak metalowe spinki do włosów. Wstążki, koraliki i inne ozdoby są zabronione. Dozwolona jest jedna lub dwie dyskretne gumki na włosach spiętych w koński ogon."
W walkach o medale konkurencji Kata drużynowego, drużyny wykonają prezentację znaczenia Kata (BUNKAI);P;"3.5.4 W walkach o medale kategorii Kata Drużynowego, Drużyny wykonują wybrane przez siebie
Kata w zwykły sposób. Następnie zaprezentują interpretację Kata (Bunkai). Bunkai na zawodach rankingowych nie dotyczy kategorii Masters oraz kategorii U14 i niższych."
Nie jest możliwe, aby powtarzać Kata systemie eliminacji Round-robin.;F; 
Dla zawodów nie wliczanych do Światowego Rankingu WKF lub kwalifikacji Olimpijskiej liczba sędziów może być ograniczona do 5.;F;"Zawody inne niż Kategoria A (decyzję podejmuje Sędzia Główny w porozumieniu z Kierownikiem Makroregionu): o 3 (tylko System Flagowy), 5 lub 7 Sędziów"
To samo Kata nigdy nie może być wykonane dwa razy z rzędu w systemie Round-robin.;P; 
Jeśli już zakwalifikowany Zawodnik jest zdyskwalifikowany za niewłaściwe zachowanie pod koniec rundy Round-robin (SHIKKAKU): Przeciwnik z półfinału przechodzi do finału wolnym losem.;F;3.7.8 Jeśli już zakwalifikowany Zawodnik/Drużyna indywidualny jest zdyskwalifikowany za niesportowe zachowanie na koniec rundy Round-Robin (SHIKKAKU), kolejny Zawodnik/Drużyna z grupy Round-Robin przechodzi do dalszej fazy.
Zawodniczki muszą nosić zwykły biały T-shirt pod bluzą Karate-Gi.;F;2.2.9 Kobiety Zawodniczki mogą nosić gładki biały T-shirt pod bluzą Karate-gi
Zawodniczki mogą, jeśli chcą, nosić zwykły biały T-shirt pod bluzą Karate-Gi.;P;2.2.9 Kobiety Zawodniczki mogą nosić gładki biały T-shirt pod bluzą Karate-gi
Noszenie nieautoryzowanych stroju lub sprzętu jest zabronione;P;"2.2.21 Zawodnicy, którzy pojawiają się na polu walki w nieprzepisowym stroju, otrzymają dwie minuty czasu na uporządkowanie stroju."
Dyskretna gumka lub uchwyt do włosów ułożonych w „koński ogon” są dopuszczalne w konkurencji Kata;F;2.2.19 Wsuwki do włosów są zabronione, podobnie jak metalowe spinki do włosów. Wstążki, koraliki i inne ozdoby są zabronione. Dozwolona jest jedna lub dwie dyskretne gumki na włosach spiętych w koński ogon.
Pole walki musi mieć rozmiar wystarczający, aby pozwolić na niezakłócone wykonanie Kata.;F;W przepisach nie ma informacji na ten temat. 
Pola walki do Kumite zbudowane z mat są nieodpowiednie dla konkurencji Kata;F;"Są odpowiedne - 1.1 Pole walki będzie kwadratem ułożonym z mat o bokach równych 8 metrów (mierzonych z zewnątrz), z matami w kolorze innym niż reszta mat na zewnętrznym jednometrowym obszarze, wyznaczającym granicę. 1.4 Dodatkowo, z każdej strony pola walki będzie wyznaczona minimum jednometrowa pokryta matą strefa bezpieczeństwa."
Bluza Karate-Gi może być zdjęta w trakcie wykonania Kata;F;Nie może. Musi mieć wiązania a pas nie może upaść
Sygnały dźwiękowe są na tym samym poziomie, jak ukarana zostałaby chwilowa utrata równowagi.;P;Sygnały dźwiękowe to Faule a chwilowa utrata równowagi jeżei nie tak samo jak 5.7.2 Niewielka utrata równowagi - to Dyskwalifikacja: Konieczność wykonania korygującego kroku dla powrotu z całkowitej utraty równowagi lub upadku
Zmiany w Kata, zgodne z nauczaniem stylu (Ryu-ha) Karate zawodnika, nie będą dozwolone;F;5.3.2 Będą dozwolone niewielkie różnice jak nauczane w stylu Karate Zawodnika (Ryu-Ha).
Wybór Kata musi być zgłoszony do stolika sędziowskiego przed każdą rundą.;F;wskazywane Gońcowi
Drużyna, która nie wykona ukłonu po zakończeniu BUNKAI zostanie zdyskwalifikowana;P;"5.3.1 Prezentacja oceniana jest od ukłonu rozpoczynającego Kata do ukłonu kończącego Kata, z wyjątkiem Drużynowych meczy medalowych, gdzie wykonanie, jak również pomiar czasu, rozpoczyna się ukłonem na początku Kata i kończy się, gdy Zawodnicy ukłonią się po zakończeniu Bunkai (o ile Bunkai jest wymagane). 5.8 Dyskwalifikacja - dla kategorii U14 i starsi a) Brak ukłonu na początku i na końcu wykonania Kata (3.5.4 Bunkai na zawodach rankingowych nie dotyczy kategorii Masters oraz kategorii U14 i niższych)"
Liczba wymaganych Kata zależy od liczby zawodników lub drużyn zgłoszonych do konkurencji;P;5.2. Lista wymaganych Kata
Jeśli już zakwalifikowany Zawodnik jest zdyskwalifikowany za nieprawidłowe zachowanie pod koniec rundy Round-robin (SHIKKAKU), zostanie przyznany brązowy medal.;F; 
Przy ocenie wykonania zawodnika lub drużyny, Sędziowie będą oceniać wykonanie w oparciu o wszystkie kryteria.;P;5.7 Kryteria oceny
Nie ma specjalnych różnic dla osób poniżej 14 roku życia w stosunku do standardowych przepisów, ale może być stosowane ograniczenie listy Kata do Kata mniej zaawansowanych.;P;5.1.1 W kategoriach U14 do seniora, można wykonać tylko Kata z oficjalnej listy Kata WKF
Spowodowanie kontuzji, poprzez brak kontroli technik podczas BUNKAI jest traktowane jako faul.;P;5.7 Faule : 5.7.8 Spowodowanie kontuzji przez brak kontrolowanej techniki podczas Bunkai
Przy walkach medalowych żaden z Sędziów nie może być tej samej narodowości co Zawodnicy.;P;6.4 W walkach o medale żaden z Sędziów nie może być tej samej narodowości, co Zawodnicy, ani nie mieć żadnego innego rodzaju konfliktu interesów, takiego jak ten sam kraj zamieszkania, więzy rodzinne, w tym teściowie lub relacje Zawodnik/Trener.
Wykonania otrzymują ocenę wg skali od 5.0 do 10.0 w przyrostach co 0.1.;P;"5.5.1 Prezentacje są oceniane w skali od 5.0 do 10.0 w odstępach co 0.1 – gdzie 5.0 oznacza najniższą możliwą ocenę dla Kata, które zostało zaakceptowane jako wykonane, a 10.0 oznacza doskonałe wykonanie. Dyskwalifikacja wskazywana jest przez wynik 0.0."
Rzut monetą jest pierwszym kryterium, aby rozstrzygnąć remisy.;F;"3.7.4 Zwycięzca oraz wicelider każdej puli są określani przez większość wygranych walk/meczy. Jeśli liczba zwycięstw jest równa to remis będzie rozstrzygany na podstawie następujących kryteriów: 1. Większa liczba punktów za zwycięstwo zdobytych we wszystkich walkach 2. Zwycięzca bezpośredniej walki między 2 zawodnikami/drużynami, jeśli jest remis 3. Wykonanie dodatkowego Kata dla zawodników pozostających w remisie. 3.7.5 Dla każdego przypadku remisu powrót do kryterium 2"
Jest sześć sposobów, aby rozstrzygnąć remis w Systemie eliminacji Round-Robin z 4 Zawodnikami.;F;Jest 5 sposobów, nie 6
Siła jest jednym z kryteriów oceny.;P;"5.7 Kryteria oceny Wykonanie Kata
 1. Pozycje
 2. Techniki
 3. Przemieszczanie się
 4. Timing i synchronizacja
 5. Właściwe oddychanie
 6. Skupienie (KIME)
 7. Zgodność: Konsekwencja
 w wykonaniu KIHON
 8. Siła
 9. Szybkość
 10. Balans"
Jest sześć sposobów, aby rozstrzygnąć remis w Systemie eliminacji z 8 Zawodnikami.;F;Jest 5 sposobów, nie 6
Jest 10 kryteriów oceny Kata.;P;"5.7 Kryteria oceny Wykonanie Kata
 1. Pozycje
 2. Techniki
 3. Przemieszczanie się
 4. Timing i synchronizacja
 5. Właściwe oddychanie
 6. Skupienie (KIME)
 7. Zgodność: Konsekwencja
 w wykonaniu KIHON
 8. Siła
 9. Szybkość
 10. Balans
"
Przejścia są jednym z kryteriów oceny dla wykonania Kata, ale nie dla wykonania BUNKAI.;P;patrz: 5.7. Kryteria oceny 
W wykonaniu BUNKAI, przejścia i kontrola są częścią oceny.;P;5.7 Kryteria oceny 3. Przemieszczanie się 5. Kontrola
Siła, Szybkość i Równowaga są niektórymi kryteriami oceny dla Kata i BUNKAI;P;5.7 Kryteria oceny
Symulowana nieprzytomność przez więcej niż 2 sekundy naraz jako część BUNKAI jest uważana za faul.;P;5.7 Faule : 5.7.9 Symulowana utrata przytomności przez ponad 2 sekundy w ramach Bunkai
BUNKAI ma tą samą wagę jak samo Kata.;P;"5.4.3 (wkf) Bunkai są wykonywane w walkach o medale i należy dać im równą ważność jak samemu Kata."
Nadmierne kłanianie przed startem wykonania jest uważane za faul.;P;"5.9 Faule - Następujące faule, jeśli są widoczne, muszą być wzięte pod uwagę: 5.9.7 Marnowanie czasu, w tym przedłużone maszerowanie, nadmierne kłanianie się lub przedłużająca się pauza przed rozpoczęciem prezentacji."
Spowodowanie kontuzji poprzez brak kontroli technik podczas BUNKAI spowoduje dyskwalifikację zawodnika.;F;5.9 Faule - Następujące faule, jeśli są widoczne, muszą być wzięte pod uwagę: 5.9.8 Spowodowanie kontuzji przez brak kontrolowanej techniki podczas Bunkai.
Brak zapowiedzi Kata nie powoduje dyskwalifikacji.;F;"5.8 Dyskwalifikacja : a) Brak zapowiedzi Kata, zapowiedź niewłaściwego Kata – lub wykonanie innego Kata niżwcześniej zgłoszone do oficjalnego stolika"
Wykonanie niewłaściwego Kata lub zapowiedź niewłaściwego Kata prowadzi do dyskwalifikacji.;P;"5.8 Dyskwalifikacja : a) Brak zapowiedzi Kata, zapowiedź niewłaściwego Kata – lub wykonanie innego Kata niżwcześniej zgłoszone do oficjalnego stolika"
Tupanie stopami, poklepywanie w klatkę piersiową, ręce lub Karate-Gi, będzie brane pod uwagę przez Sędziów podczas podejmowania decyzji.;P;"to Faule : 5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lub teatralnych, takich jak nieuzasadnione tupanie nogami, uderzanie w klatkę piersiową, ramiona lub Karate-gi, jeżeli nie wynika to bezpośrednio z wykonywanej techniki (muchimi) lub niewłaściwe oddychanie, musi być uznane przez Sędziów za bardzo poważne faule w ich ocenie wykonania Kata – na takim samym poziomie, na jakim karano by za chwilową utratę równowagi."
Zawodnik nie zostanie zdyskwalifikowany, jeśli zrobi w wykonaniu Kata wyraźną przerwę lub przystanek na kilka sekund.;F;"5.8 Dyskwalifikacja:  c) Wyraźna pauza lub zatrzymanie w wykonaniu (dla kategorii U12 i starsi, w kategoriach U10 należy dać możliwość powtórzenia Kata od początku, bez wpływu na ocenę wykonania Kata)."
Do BUNKAI nie powinno się przykładać takiej samej wagi jak do samego Kata.;F;"5.4.3 (wkf) Bunkai są wykonywane w walkach o medale i należy dać im równą ważność jak samemu Kata."
Kata musi być rozpoczęte twarzą do sędziów.;P;5.8 Dyskwalifikacja : Nierozpoczęcie Kata twarzą do Sędziów
Używanie dźwiękowych sygnałów przez jakąkolwiek inną osobę, włączając innych członków drużyny jest uznawane za faul.;P;to Faule : 5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu)
Jeśli pas zawodnika upada w trakcie wykonania Kata, to zawodnik zostaje zdyskwalifikowany.;P;5.8 Dyskwalifikacja: 5.8.2 Tylko dla kategorii U14 i starsi c) Upadek pasa podczas prezentacji
Nieprzestrzeganie poleceń Sędziego Prowadzącego lub inne niewłaściwe zachowanie jest uznawane za faul.;F;"5.8 Dyskwalifikacja : g) Niestosowanie się do poleceń Sędziego Głównego Kata lub inne wykroczenie (SHIKKAKU)"
Nieprzestrzeganie poleceń Sędziego Prowadzącego lub inne niewłaściwe zachowanie prowadzi do dyskwalifikacji.;P;"5.8 Dyskwalifikacja : g) Niestosowanie się do poleceń Sędziego Głównego Kata lub inne wykroczenie (SHIKKAKU)"
Przekroczenie całkowitego limitu 5 minut dla czasu trwania Kata i BUNKAI jest uznawane za faul.;F;5.8 Dyskwalifikacja : e) Przekroczenie łącznego limitu czasu trwania 5 minut dla Kata i Bunkai
W Kata drużynowym, wszyscy trzej członkowie drużyny muszą rozpocząć i skończyć Kata stojąc w tym samym kierunku i twarzą do Sędziego Prowadzącego.;F;Muszą rozpocząć Kata stojąc w tym samym kierunku i twarzą do Sędziego Prowadzącego (inaczej dyskwalifikacja - 5.10.1  b) Nierozpoczęcie Kata twarzą do Sędziów.) ale nie muszą skończyć 
Wykonanie Kata musi być realistyczne w rozumieniu walki i pokazywać koncentrację, siłę i potencjał uderzenia w swoich technikach.;P;"3.1.1 Kata to nie taniec lub teatralne przedstawienie. Musi przestrzegać tradycyjnych wartości i zasad. Musi być realistyczne pod względem walki i wykazywać koncentrację, siłę i potencjałuderzenia w swoich technikach. Musi demonstrować siłę, moc i szybkość, jak również wdzięk, rytm i równowagę."
Spowodowanie kontuzji poprzez brak kontroli w technikach podczas BUNKAI nie jest uznawane za faul;F;"5.9 Faule - Następujące faule, jeśli są widoczne, muszą być wzięte pod uwagę: 5.9.8 Spowodowanie kontuzji przez brak kontrolowanej techniki podczas Bunkai."
Lekka utrata równowagi nie może wpłynąć na ocenę wykonania Kata.;F;5.7 Faule : 5.7.2 Niewielka utrata równowagi.
Przekroczenie całkowitego limitu 5 minut dla czasu trwania Kata i BUNKAI prowadzi do dyskwalifikacji.;P;5.8 Dyskwalifikacja : e) Przekroczenie łącznego limitu czasu trwania 5 minut dla Kata i Bunkai
Wykonanie Kata musi prezentować siłę, równowagę i szybkość.;P;"5.7 Kryteria oceny Wykonanie Kata: 8. Siła 9. Szybkość 10. Balans"
Lekka utrata równowagi musi mieć wpływ na ocenę wykonania Kata.;P;5.7 Faule : 5.7.2 Niewielka utrata równowagi.
Ruch asynchroniczny, taki jak wykonanie techniki przed zakończeniem przemieszczenia ciała, jest uznawane za faul.;P;"5.7 Faule : 5.7.4 Asynchroniczne ruchy, takie jak wykonanie techniki przed zakończeniem przejścia ciała lub w przypadku Kata Drużynowego, niewykonanie ruchu zgodnie."
Niewłaściwy wydech będzie brany pod uwagę przez Sędziów przy podejmowaniu decyzji.;P;"5.7 Faule : 5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lub teatralnych, takich jak nieuzasadnione tupanie nogami, uderzanie w klatkę piersiową, ramiona lub Karate-gi, jeżeli nie wynika to bezpośrednio z wykonywanej techniki (muchimi) lub niewłaściwe oddychanie, musi być uznane przez Sędziów za bardzo poważne faule w ich ocenie wykonania Kata – na takim samym poziomie, na jakim karano by za chwilową utratę równowagi."
W Kata drużynowym, brak synchronizacji ruchów nie jest uznawany za faul.;F;"5.7 Faule : 5.7.4 Asynchroniczne ruchy, takie jak wykonanie techniki przed zakończeniem przejścia ciała lub w przypadku Kata Drużynowego, niewykonanie ruchu zgodnie."
Wykonywanie ruchu w sposób nieprawidłowy lub niekompletny jest uważane za faul.;P;"5.7 Faule : 5.7.3 Wykonanie ruchu w nieprawidłowy lub niekompletny sposób, np. niewykonanie pełnego bloku lub uderzenie poza cel."
Marnowanie czasu, włączając wydłużone maszerowanie, nadmierne kłanianie się lub wydłużona pauza przed rozpoczęciem wykonania są uznawane za faul.;P;"5.7 Faule: 5.7.7 Marnowanie czasu, w tym przedłużone maszerowanie, nadmierne kłanianie się lub przedłużająca się pauza przed rozpoczęciem prezentacji."
